ticker,isin,name,weight_percentage,sector,country,currency
,FR0000052292,HERMES INTERNATIONAL,0.6208037809742634,Nicht-Basiskonsumgüter,Frankreich,EUR
,FR0000131104,BNP PARIBAS,0.6049570055842023,Finanzdienstleistungen,Frankreich,EUR
,IT0003128367,ENEL SPA,0.5944494289016047,Versorger,Italien,EUR
,DE0008430026,MUENCHENER RUECKVER AG-REG,0.5932820050061759,Finanzdienstleistungen,Deutschland,EUR
,FR0000120628,AXA SA,0.587840401408185,Finanzdienstleistungen,Frankreich,EUR
,GB00BDR05C01,NATIONAL GRID PLC,0.585594953400351,Versorger,Großbritannien,GBP
,FR0000125486,VINCI SA (PARIS),0.5780189559933918,Industrie,Frankreich,EUR
,GB00B2B0DG97,RELX PLC,0.5593305515770943,Industrie,Großbritannien,GBP
,GB0007188757,RIO TINTO PLC (GBR),0.5502807527320485,Werkstoffe,Großbritannien,GBP
,NL0011821202,ING GROEP NV,0.5489569863844037,Finanzdienstleistungen,Niederlande,EUR
,GB0031348658,BARCLAYS PLC,0.545597219699948,Finanzdienstleistungen,Großbritannien,GBP
,GB0002634946,BAE SYSTEMS PLC GBP,0.5283531517694505,Industrie,Großbritannien,GBP
,GB0008706128,LLOYDS BANKING GROUP PLC,0.5111110614033476,Finanzdienstleistungen,Großbritannien,GBP
,DE0005140008,DEUTSCHE BANK AG NAMEN,0.4883099904489825,Finanzdienstleistungen,Deutschland,EUR
,GB00BM8PJY71,NATWEST GROUP PLC,0.4683402216687267,Finanzdienstleistungen,Großbritannien,GBP
,BE0974293251,ANHEUSER-BUSCH INBEV SA/NV,0.45515930658987774,Basiskonsumgüter,Belgien,EUR
,ES0148396007,INDUSTRIA DE DISENO TEXTIL,0.4365343543887555,Nicht-Basiskonsumgüter,Spanien,EUR
,SE0015811963,INVESTOR AB-B SHS,0.43001668781305413,Finanzdienstleistungen,Schweden,SEK
,GB00BD6K4575,COMPASS GROUP PLC GBP,0.4265761092925564,Nicht-Basiskonsumgüter,Großbritannien,GBP
,FR0000120644,DANONE,0.42161630921442206,Basiskonsumgüter,Frankreich,EUR
,GB00B0SWJX34,LONDON STOCK EXCHANGE GROUP,0.4206255078783757,Finanzdienstleistungen,Großbritannien,GBP
,NL0010832176,ARGENX SE,0.410117066279231,Gesundheitswesen,Belgien,EUR
,FI4000297767,NORDEA BANK ABP,0.4032785840978065,Finanzdienstleistungen,Finnland,EUR
,FR001400T5U9,AIR LIQUIDE PRIME DE FIDELITE 2027,0.38501791141617236,Werkstoffe,Frankreich,EUR
,CH0126881561,SWISS RE AG,0.38260804990178493,Finanzdienstleistungen,Schweiz,CHF
,FR0000130809,SOCIETE GENERALE,0.376847936427862,Finanzdienstleistungen,Frankreich,EUR
,GB00B24CGK77,RECKITT BENCKISER GROUP PLC,0.37618027564293527,Basiskonsumgüter,Großbritannien,GBP
,GB0002374006,DIAGEO PLC,0.3722997545491079,Basiskonsumgüter,Großbritannien,GBP
,DE0006231004,INFINEON TECHNOLOGIES AG,0.3647456155005699,Informationstechnologie,Deutschland,EUR
,NL0011585146,FERRARI NV MILAN,0.3523459870107083,Nicht-Basiskonsumgüter,Italien,EUR
,DE0007100000,MERCEDES-BENZ GROUP AG,0.34836824723969645,Nicht-Basiskonsumgüter,Deutschland,EUR
,FR0000125007,COMPAGNIE DE SAINT GOBAIN,0.3422312405942388,Industrie,Frankreich,EUR
,CH0013841017,LONZA GROUP AG-REG,0.3414802519433208,Gesundheitswesen,Schweiz,CHF
,FR001400UH43,L OREAL PRIME DE FIDELITE 2027,0.33845699594255946,Basiskonsumgüter,Frankreich,EUR
,CH0012214059,HOLCIM LTD,0.3363896869554044,Werkstoffe,Schweiz,CHF
,JE00B4T3BW64,GLENCORE PLC GBP,0.3355041872802704,Werkstoffe,Großbritannien,GBP
,DE0005810055,DEUTSCHE BOERSE AG,0.33490449694941254,Finanzdienstleistungen,Deutschland,EUR
,DE0005552004,DHL GROUP (XETRA),0.3312566205484006,Industrie,Deutschland,EUR
,NL0012969182,ADYEN NV,0.33108464530820586,Finanzdienstleistungen,Niederlande,EUR
,SE0000115446,VOLVO AB-B SHS,0.3197423837976883,Industrie,Schweden,SEK
,FR0000120073,AIR LIQUIDE SA,0.3166234135087815,Werkstoffe,Frankreich,EUR
,DE000BASF111,BASF SE XETRA,0.31583546010476027,Werkstoffe,Deutschland,EUR
,GB00BMX86B70,HALEON PLC,0.3146699190529349,Gesundheitswesen,Großbritannien,GBP
,DK0060079531,DSV A/S (DKK),0.3058971257332147,Industrie,Dänemark,DKK
,GB00B1YW4409,3I GROUP PLC,0.3050861060306657,Finanzdienstleistungen,Großbritannien,GBP
