ticker,name,weight_percentage,raw_ticker
APA,APA CORP,0.01,APA
MGM,MGM RESORTS INTERNATIONAL,0.01,MGM
CAG,CONAGRA BRANDS INC,0.01,CAG
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD,0.01,NCLH
AOS,A O SMITH CORP,0.01,AOS
PAYC,PAYCOM SOFTWARE INC,0.01,PAYC
FRT,FEDERAL REALTY INVESTMENT TRUST RE,0.01,FRT
SOLS,SOLSTICE ADVANCED MATERIALS INC,0.01,SOLS
MOS,MOSAIC,0.01,MOS
ERIE,ERIE INDEMNITY CLASS A,0.01,ERIE
BEN,FRANKLIN RESOURCES INC,0.01,BEN
MHK,MOHAWK INDUSTRIES INC,0.01,MHK
HRL,HORMEL FOODS CORP,0.01,HRL
CPB,CAMPBELL SOUP,0.01,CPB
DVA,DAVITA INC,0.01,DVA
BFB,BROWN FORMAN CORP CLASS B,0.01,BFB
PSKY,PARAMOUNT SKYDANCE CORP CLASS B,0.01,PSKY
NWS,NEWS CORP CLASS B,0.01,NWS
